"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"389. Flight of the Conchords";"2007–2009";"TV-MA";8,5;"66K";"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom."
"390. Sapne Vs Everyone";"N/A";"N/A";9,4;"66K";"Two obsessive dreamers collide with the resistance of expectations, morality and each other."
"391. Asur: Welcome to Your Dark Side";"2020–";"Approved";8,5;"66K";"Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?"
"392. Your Honor";"2020–2023";"TV-MA";7,6;"66K";"A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family."
"393. Dragon Ball";"1995–2003";"TV-14";8,5;"65K";"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
"394. Chicago Fire";"2012–";"TV-14";8;"65K";"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
"395. The Lincoln Lawyer";"2022–";"TV-MA";7,7;"65K";"Need a lawyer? Call Mickey Haller. He runs his law practice out of his Lincoln, and he's ready to hit the gas. Moving through Los Angeles, he takes cases while balancing a private life that includes being a father and having two ex-wives."
"396. Happy Valley";"2014–2023";"TV-MA";8,5;"65K";"Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood."
"397. Paatal Lok";"2020–";"TV-MA";8,1;"65K";"A down-and-out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a journalist. The pursuit leads him to 'Paatal Lok' and to shocking discoveries in the four suspects' pasts."
"398. Travelers";"2016–2018";"TV-MA";8;"65K";"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity."
"399. Sleepy Hollow";"2013–2017";"TV-14";7,3;"64K";"Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers."
"400. Eastbound & Down";"2009–2013";"TV-MA";8,2;"64K";"Many years after he turned his back on his hometown, a burned-out major league ballplayer returns to teach Physical Education at his old middle school."
"401. The Last Man on Earth";"2015–2018";"TV-14";7,4;"64K";"Almost two years after a virus wiped out most of the human race, Phil Miller only wishes for some company, but soon gets more than he bargained for when that company shows up in the form of other survivors."
"402. The Last Ship";"2014–2018";"TV-14";7,4;"64K";"The crew of a naval destroyer is forced to confront the reality of a new existence when a pandemic kills off most of the earth's population."
"403. M*A*S*H";"1972–1983";"TV-PG";8,5;"64K";"The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation."
"404. Manhunt";"2017–2020";"TV-14";8,1;"64K";"An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber."
"405. Quantico";"2015–2018";"TV-14";6,7;"64K";"A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist."
"406. The Shannara Chronicles";"2016–2017";"TV-14";7,1;"64K";"Series of adventures, war, and evil that occur throughout the history of the Four Lands."
"407. Veep";"2012–2019";"TV-MA";8,4;"64K";"Former Senator Selina Meyer finds that being Vice President of the United States is nothing like she hoped and everything that everyone ever warned her about."
"408. Continuum";"2012–2015";"TV-14";7,6;"64K";"A detective from the year 2077 finds herself trapped in present-day Vancouver and searching for ruthless criminals from the future."
"409. Full House";"1987–1995";"TV-G";6,8;"63K";"A widowed sportscaster raises his three daughters with assistance from his rock and roll brother-in-law and madcap best friend."
"410. Terminator: The Sarah Connor Chronicles";"2008–2009";"TV-PG";7,6;"63K";"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon."
"411. The Flight Attendant";"2020–2022";"TV-MA";7,1;"63K";"A reckless flight attendant with an alcoholism problem wakes up in the wrong hotel, in the wrong bed, with a dead man - and no idea what happened. Unable to piece the night together, she begins to wonder if she could be the killer."
"412. Snowpiercer";"2020–2024";"TV-MA";6,9;"63K";"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out."
"413. Resident Alien";"2021–";"TV-14";8,1;"63K";"A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth."
"414. Forever";"2014–2015";"TV-PG";8,2;"62K";"Dr Henry Morgan, a medical examiner, works with his partner Detective Jo Martinez, to solve criminal cases. Along the way, he tries to uncover the mystery to his 200-year-old immortality."
"415. Cheers";"1982–1993";"TV-PG";8;"62K";"The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name."
"416. Flashforward";"2009–2010";"TV-14";7,6;"62K";"A special task force in the FBI investigates after every person on Earth simultaneously blacks out and awakens with a short vision of their future."
"417. Black Books";"2000–2004";"TV-PG";8,5;"62K";"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue."
"418. CSI: Miami";"2002–2012";"TV-14";6,5;"61K";"An elite unit, led by an ex-homicide cop, which is linked to the Miami-Dade Police Department, uses all possible resources and skills at their disposal to solve complex crimes in cross-cultural Miami."
"419. A Discovery of Witches";"2018–2022";"TV-MA";7,8;"61K";"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires."
"420. Tandav";"2021–";"TV-14";4,6;"61K";"Tandav is a story that happens in the capital city of the world's largest democracy - DILLI (New Delhi), where it takes you inside the closed, chaotic doors of power and manipulation and uncover the darkest lanes of Indian politics."
"421. Good Girls";"2018–2021";"TV-14";7,7;"61K";"Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take back their power."
"422. Extras";"2005–2007";"TV-MA";8,3;"61K";"Andy Millman is an actor with ambition and a script. Reduced to working as an extra with a useless agent, Andy's attempts to boost his career invariably end in failure and embarrassment."
"423. Will & Grace";"1998–2020";"TV-PG";7,4;"60K";"Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen."
"424. The Alienist";"2018–2020";"TV-MA";7,7;"60K";"Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century."
"425. Wayward Pines";"2015–2016";"TV-14";7,3;"60K";"A Secret Service agent goes to Wayward Pines, Idaho in search of two federal agents who have gone missing in the bucolic town. He soon learns that he might never get out of Wayward Pines alive."
"426. Nine Perfect Strangers";"2021";"TV-MA";7;"60K";"Nine stressed city dwellers visit a boutique health-and-wellness resort that promises healing and transformation. The resort's director is a woman on a mission to reinvigorate their tired minds and bodies."
"427. Doom Patrol";"2019–2023";"TV-MA";7,7;"60K";"The adventures of an idealistic mad scientist and his field team of superpowered outcasts."
"428. Samurai Jack";"2001–2017";"TV-MA";8,5;"60K";"A samurai, sent through time, fights to return home and save the world."
"429. Archive 81";"2022";"TV-MA";7,3;"60K";"An archivist hired to restore a collection of tapes finds himself reconstructing the work of a filmmaker and her investigation into a dangerous cult."
"430. Clarkson's Farm";"2021–";"TV-PG";9;"60K";"Follow Jeremy Clarkson as he attempts to run a farm in the countryside."
"431. Pushing Daisies";"2007–2009";"TV-PG";8,4;"60K";"A pastry chef with the power to bring dead people back to life solves murder mysteries with his resurrected childhood sweetheart, a cynical private investigator, and a lovesick waitress."
"432. Scorpion";"2014–2018";"TV-14";7;"60K";"An eccentric genius forms a team of super-geniuses who are tasked with being the last line of defense against complicated threats to National Security."
"433. Star Trek: Strange New Worlds";"2022–";"TV-PG";8,3;"59K";"A prequel to Star Trek: The Original Series, the show follows the crew of the USS Enterprise under Captain Christopher Pike."
"434. Jane the Virgin";"2014–2019";"TV-PG";7,9;"59K";"A young, devout Catholic woman discovers that she was accidentally artificially inseminated."
"435. Derry Girls";"2018–2022";"TV-MA";8,5;"59K";"The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland."
"436. Star Trek: Enterprise";"2001–2005";"TV-PG";7,5;"59K";"A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation."
"437. The Diplomat";"2023–";"TV-MA";8;"59K";"In the midst of an international crisis, Kate Wyler, a career diplomat, lands in a high-profile job for which she is not suited, with tectonic implications for her marriage and her political future."
"438. V";"2009–2011";"TV-14";6,8;"59K";"An extraterrestrial race arrives on Earth with seemingly good intentions, only to slowly reveal their true machinations the more ingrained into society they become."
